s,ds,o,c,i,inv,size,sg
3570,374,799,599,6101,"44,949","2,300,000",0.068
3571,376,809,599,6146,"44,435","2,200,000",0.019
3570,386,813,599,5993,"44,269","2,200,000",0.029
3561,400,800,597,6360,"43,783","2,300,000",0.03
3522,415,735,660,5332,"43,046","2,300,000",0.006
3465,442,667,655,6299,"44,469","2,300,000",0.007
3407,470,639,647,6290,"45,141","2,200,000",0.019
3288,508,407,632,6107,"44,858","2,200,000",0.016
3158,561,286,620,6148,"43,803","2,200,000",0.05
3029,629,210,611,5651,"40,714","2,200,000",0.06
2907,708,189,609,4557,"36,437","2,100,000",0.034
2747,803,158,596,4112,"32,713","2,100,000",0.001
2612,891,153,602,3615,"34,511","2,100,000",0.073
2447,971,132,591,3121,"35,159","2,100,000",0.084
2256,1075,112,579,2757,"33,685","1,900,000",0.116
1980,1209,100,567,2285,"31,910","1,800,000",0.095
1713,1333,85,551,1587,"29,762","1,700,000",0.113
